Phrase ^ Count
and the  ^ 717
stand: for  ^ 2
but it shall not be  ^ 2
the time of the end:  ^ 2
above all.  ^ 2
toward the four winds  ^ 2
and the land of egypt  ^ 2
shall not escape.  ^ 2
of the south shall come  ^ 2
hundred and five  ^ 2
in linen, which  ^ 2
was upon the waters  ^ 2
the power of the holy  ^ 2
and i heard,  ^ 2
then said i, o my lord,  ^ 2
i, o my lord, what  ^ 2
answered before  ^ 2
there is not  ^ 2
the wise men of babylon.  ^ 2
daniel and his fellows  ^ 2
then arioch  ^ 2
the god of heaven.  ^ 2
then the king commanded  ^ 2
understanding: he  ^ 2
i thank  ^ 2
unto the king the interpretation.  ^ 2
the interpretation. the king  ^ 2
i have seen, and the interpretation  ^ 2
and said to daniel,  ^ 2
the wise men , the astrologers,  ^ 2
in the presence of the king,  ^ 2
that i have  ^ 2
a great  ^ 2
of brass,  ^ 2
part of  ^ 2
without hands,  ^ 2
the whole earth.  ^ 2
of heaven hath given  ^ 2
the children of men  ^ 2
kingdom of  ^ 2
inferior to  ^ 2
the dream, and we will show  ^ 2
and whereas thou sawest  ^ 2
forasmuch as thou sawest  ^ 2
mixed with miry  ^ 2
but they shall not  ^ 2
shall stand forever.  ^ 2
upon his face,  ^ 2
secret. then  ^ 2
over the affairs  ^ 2
ye will not make known  ^ 2
make known unto me the dream,  ^ 2
the thing is gone  ^ 2
from me: if  ^ 2
again and said,  ^ 2
in the province of babylon.  ^ 2
psaltery, and dulcimer,  ^ 2
and dulcimer, and all  ^ 2
and worship the golden  ^ 2
and whoso falleth not down  ^ 2
thy gods, nor  ^ 2
which thou hast set up.  ^ 2
whom thou hast set  ^ 2
thou hast set over  ^ 2
thou hast set up. then  ^ 2
then they brought  ^ 2
commanded to bring  ^ 2
meshach, and abed-nego.  ^ 2
of music, ye fall down  ^ 2
ye fall down and worship  ^ 2
and who is that  ^ 2
time ye hear  ^ 2
ye hear the sound  ^ 2
fiery furnace,  ^ 2
the treasurers, the counselors,  ^ 2
the counselors, the sheriffs,  ^ 2
the sheriffs, and all  ^ 2
the king had set up.  ^ 2
the princes, the governors,  ^ 2
the judges, the treasurers,  ^ 2
furnace. then  ^ 2
into the midst of the burning  ^ 2
furnace. therefore  ^ 2
three men,  ^ 2
bound into the midst  ^ 2
hath sent his angel,  ^ 2
trusted in  ^ 2
of shadrach,  ^ 2
the god of  ^ 2
which speak  ^ 2
and they stood before  ^ 2
image that  ^ 2
in all the earth;  ^ 2
the earth; peace  ^ 2
and languages, that  ^ 2
dwell in all  ^ 2
grew, and was strong,  ^ 2
under it, and the fowls  ^ 2
and the fruit thereof much,  ^ 2
thereof much, and in it was meat  ^ 2
a watcher and a holy one  ^ 2
and brass, in the tender grass  ^ 2
in the tender grass of  ^ 2
of the field;  ^ 2
the field; and let it be wet  ^ 2
and let it be wet with the dew  ^ 2
of heaven, and let his portion  ^ 2
and let his portion be with  ^ 2
be with the beasts  ^ 2
leave the stump  ^ 2
even with a band of  ^ 2
iron and brass,  ^ 2
times pass  ^ 2
pass over  ^ 2
that the living  ^ 2
this dream  ^ 2
the spirit of the holy  ^ 2
of the holy gods  ^ 2
and his thoughts troubled  ^ 2
o king, that  ^ 2
coming down from  ^ 2
times shall pass  ^ 2
shall pass over  ^ 2
thou know that  ^ 2
it to whomsoever he will.  ^ 2
thee from men,  ^ 2
men, and thy dwelling  ^ 2
of the tree  ^ 2
upon the king  ^ 2
is from generation  ^ 2
and his body was wet  ^ 2
was wet with the dew  ^ 2
and he was driven from  ^ 2
is an everlasting dominion,  ^ 2
unto him, what doest  ^ 2
all whose  ^ 2
and the visions of my head  ^ 2
of my head troubled  ^ 2
before me, that  ^ 2
then came in  ^ 2
the astrologers, the chaldeans,  ^ 2
is the spirit of the holy  ^ 2
master of the magicians,  ^ 2
spoke and said,  ^ 2
there is a man  ^ 2
that daniel,  ^ 2
daniel, which  ^ 2
of the captivity of  ^ 2
and said unto daniel,  ^ 2
of thee, that  ^ 2
this writing,  ^ 2
read the writing,  ^ 2
with scarlet, and have a chain  ^ 2
and have a chain of  ^ 2
have heard of  ^ 2
in the kingdom. then  ^ 2
the most high god  ^ 2
the temple which  ^ 2
and his princes, his wives,  ^ 2
his wives, and his concubines,  ^ 2
from the sons  ^ 2
and stone, which  ^ 2
this is the interpretation  ^ 2
about his neck,  ^ 2
the temple of  ^ 2
spoke, and said  ^ 2
princes, which  ^ 2
toward jerusalem,  ^ 2
any god  ^ 2
god or man  ^ 2
save of  ^ 2
of thee, o king,  ^ 2
and said, the thing  ^ 2
according to the law of the medes  ^ 2
of the medes and persians,  ^ 2
and persians, which  ^ 2
which altereth  ^ 2
and spoke before  ^ 2
altereth not.  ^ 2
thou servest  ^ 2
servest continually,  ^ 2
of lions.  ^ 2
brought before  ^ 2
went from  ^ 2
king darius  ^ 2
he is the living  ^ 2
is the living god,  ^ 2
i make a decree,  ^ 2
and his kingdom that which  ^ 2
that which shall not  ^ 2
forever. all  ^ 2
of any  ^ 2
that it be not  ^ 2
from before  ^ 2
for a season  ^ 2
i saw in the night  ^ 2
in the night visions,  ^ 2
shall not pass away,  ^ 2
all this.  ^ 2
these great  ^ 2
and stamped the residue  ^ 2
beast, which  ^ 2
the four winds  ^ 2
made war  ^ 2
with the saints,  ^ 2
shall be diverse from  ^ 2
one from another.  ^ 2
i beheld till  ^ 2
this i beheld,  ^ 2
of the first  ^ 2
little horn,  ^ 2
to the ground, and stamped upon  ^ 2
there stood before  ^ 2
but he said unto  ^ 2
of man: for  ^ 2
of fierce countenance,  ^ 2
without hand.  ^ 2
mine eyes, and saw,  ^ 2
westward, and northward,  ^ 2
not the ground:  ^ 2
and ran unto  ^ 2
in the law of moses  ^ 2
of moses the servant  ^ 2
the servant of god,  ^ 2
the whole heaven  ^ 2
all his works  ^ 2
of egypt with a mighty  ^ 2
incline thine ear,  ^ 2
and hear; open  ^ 2
seventy years  ^ 2
my supplication before  ^ 2
o lord,  ^ 2
thy servants the prophets,  ^ 2
in the wilderness, in the plain  ^ 2
as the stars of heaven  ^ 2
of heaven for multitude.  ^ 2
the thing which  ^ 2
and made them heads  ^ 2
them heads over  ^ 2
and i commanded you at that  ^ 2
which ye saw  ^ 2
our god commanded  ^ 2
and terrible wilderness,  ^ 2
our god doth give  ^ 2
unto the mountain  ^ 2
by what way  ^ 2
and they turned and went up  ^ 2
the valley of eshcol,  ^ 2
of the fruit of the land  ^ 2
but rebelled against the commandment  ^ 2
us into the hand of the amorites,  ^ 2
of the amorites, to destroy  ^ 2
saying, the people  ^ 2
then i said unto  ^ 2
month, on the first  ^ 2
ye came into  ^ 2
the voice of your words,  ^ 2
that good land,  ^ 2
of this evil  ^ 2
followed the lord.  ^ 2
save caleb  ^ 2
also the lord  ^ 2
was angry with me for your sakes,  ^ 2
him: for he  ^ 2
but joshua the son  ^ 2
which ye said  ^ 2
ye said should be  ^ 2
should be a prey,  ^ 2
of bashan, which  ^ 2
sihon the king  ^ 2
the king of the amorites,  ^ 2
into the wilderness by the way  ^ 2
of the red sea.  ^ 2
unto me, say  ^ 2
so i spoke unto  ^ 2
which dwelt in that  ^ 2
unto the great  ^ 2
behold, i have set  ^ 2
and i spoke unto  ^ 2
you at that time,  ^ 2
of stone like unto the first,  ^ 2
thee two tables  ^ 2
unto me at that  ^ 2
time also,  ^ 2
and possess the land,  ^ 2
i swore unto their fathers  ^ 2
before the people,  ^ 2
to walk in all  ^ 2
thy heart and with all  ^ 2
that only  ^ 2
their seed after  ^ 2
nor taketh  ^ 2
the tables the words  ^ 2
thou shalt fear the lord  ^ 2
thine eyes have seen.  ^ 2
went down into egypt  ^ 2
an ark of shittim  ^ 2
you in the mount out of the midst  ^ 2
out of the midst of the fire  ^ 2
of the fire in the day  ^ 2
commandments, which  ^ 2
and came down from  ^ 2
the lord to minister  ^ 2
according as the lord  ^ 2
for the land,  ^ 2
even unto the end  ^ 2
a land which  ^ 2
him with all your heart  ^ 2
thy corn, and thy wine,  ^ 2
quickly from off  ^ 2
from off the good  ^ 2
the lord giveth  ^ 2
them for a sign upon  ^ 2
as frontlets between  ^ 2
of them when thou sittest in thine house,  ^ 2
in thine house, and when thou walkest  ^ 2
and when thou walkest by the way,  ^ 2
and thou shalt write them upon  ^ 2
swore unto your fathers  ^ 2
unto your fathers to give  ^ 2
of heaven upon  ^ 2
commandments which  ^ 2
the river euphrates,  ^ 2
the soles of your feet  ^ 2
man be able to stand  ^ 2
to go after  ^ 2
the blessing upon  ^ 2
mount gerizim,  ^ 2
and unto all his land;  ^ 2
the king of egypt,  ^ 2
on the other side jordan,  ^ 2
ye shall pass over  ^ 2
all the statutes  ^ 2
the water of the red  ^ 2
of the red sea  ^ 2
the earth opened  ^ 2
her mouth, and swallowed them up,  ^ 2
in the midst of all  ^ 2
the sons of eliab,  ^ 2
the son of reuben:  ^ 2
your eyes have seen  ^ 2
all the great  ^ 2
that ye may be strong,  ^ 2
your days in  ^ 2
in the land,  ^ 2
ye live  ^ 2
these are the statutes  ^ 2
ye shall observe to do  ^ 2
in the land, which  ^ 2
your god shall choose  ^ 2
and ye shall rejoice before  ^ 2
take heed to thyself that  ^ 2
place that  ^ 2
according to the blessing of the lord  ^ 2
thy god which  ^ 2
thy soul lusteth after,  ^ 2
only ye shall not  ^ 2
it upon the earth  ^ 2
the earth as water.  ^ 2
the tithe of thy corn,  ^ 2
and thy maidservant, and the levite  ^ 2
that is within thy gates:  ^ 2
and thou shalt rejoice before  ^ 2
the high mountains,  ^ 2
mountains, and upon  ^ 2
thy soul lusteth after.  ^ 2
as he hath promised  ^ 2
be too far from  ^ 2
that which is right in the sight  ^ 2
thou shalt do that which is right  ^ 2
the lord shall choose:  ^ 2
which thou hast,  ^ 2
shall be poured out upon  ^ 2
thou shalt not do  ^ 2
so unto the lord  ^ 2
for ye are not  ^ 2
which brought thee out of the land  ^ 2
israel shall hear,  ^ 2
and shall do no  ^ 2
let us go and serve  ^ 2
of their city, saying,  ^ 2
that such abomination  ^ 2
abomination is wrought  ^ 2
and the thing certain,  ^ 2
certain, that such  ^ 2
the inhabitants of that  ^ 2
and all the spoil  ^ 2
thee this day, to do  ^ 2
thou hast not known,  ^ 2
and with all your soul.  ^ 2
prophet, or  ^ 2
that dreamer  ^ 2
of egypt, and redeemed  ^ 2
and redeemed you out of the house  ^ 2
even unto the other end  ^ 2
of the people which  ^ 2
far off from  ^ 2
shall be first  ^ 2
first upon him to put him to death,  ^ 2
the hand of all  ^ 2
ye are the children  ^ 2
fins and scales  ^ 2
it is unclean  ^ 2
the eagle, and the ossifrage,  ^ 2
and the ossifrage, and the osprey,  ^ 2
after his kind, and every  ^ 2
and the owl, and the night hawk,  ^ 2
and the night hawk, and the cuckoo,  ^ 2
and the cuckoo, and the hawk  ^ 2
and the hawk after his kind,  ^ 2
and the great owl, and the swan,  ^ 2
and the swan, and the pelican,  ^ 2
and the pelican, and the gier-eagle,  ^ 2
after her kind, and the lapwing,  ^ 2
and the lapwing, and the bat.  ^ 2
people unto himself, above all  ^ 2
hath chosen thee to be  ^ 2
eat of any  ^ 2
of thy wine, and of thine oil,  ^ 2
which he shall choose  ^ 2
and shalt go unto  ^ 2
that is within thy gates;  ^ 2
he hath no part  ^ 2
the same year,  ^ 2
thee in all the work  ^ 2
these are the beasts  ^ 2
are the beasts which  ^ 2
as the camel,  ^ 2
nevertheless these  ^ 2
eat of them that chew  ^ 2
of them that chew the cud,  ^ 2
the cud, or of them that divide  ^ 2
eat of their flesh,  ^ 2
divideth the hoof,  ^ 2
that are in the waters:  ^ 2
at the end of every seven  ^ 2
command thee, saying,  ^ 2
thou shalt open thine hand  ^ 2
thine hand wide  ^ 2
thou shalt let him go free  ^ 2
a bondman in the land  ^ 2
of egypt, and the lord  ^ 2
thy god redeemed  ^ 2
thee in all that  ^ 2
that thou doest.  ^ 2
it before the lord  ^ 2
thou shalt not sacrifice  ^ 2
only thou shalt not  ^ 2
thee in the land which  ^ 2
giveth thee for an inheritance  ^ 2
thee for an inheritance to possess  ^ 2
to observe to do  ^ 2
unto many nations,  ^ 2
giveth thee, thou shalt not  ^ 2
the seventh year,  ^ 2
for in the month  ^ 2
that is within thy gates,  ^ 2
and the widow, that  ^ 2
thee in all thy gates,  ^ 2
the words of the righteous.  ^ 2
thou shalt not wrest  ^ 2
thou shalt not respect  ^ 2
persons, neither  ^ 2
the days of thy life.  ^ 2
days shalt thou eat  ^ 2
seen with thee in all  ^ 2
work seven  ^ 2
that is an abomination  ^ 2
wherein is  ^ 2
unto the priest  ^ 2
the people shall hear,  ^ 2
when thou art come  ^ 2
that way.  ^ 2
in a book  ^ 2
the throne of his kingdom,  ^ 2
and it shall be with  ^ 2
thy god. if  ^ 2
or woman,  ^ 2
woman, that  ^ 2
that wicked  ^ 2
of two witnesses,  ^ 2
witnesses, or  ^ 2
from among if  ^ 2
the levites, and all  ^ 2
thy god doth drive them out  ^ 2
these nations,  ^ 2
great fire  ^ 2
and it shall come to pass, that whosoever  ^ 2
will not hearken  ^ 2
my words which  ^ 2
i have not commanded  ^ 2
of other gods,  ^ 2
in my name, which  ^ 2
and if thou say  ^ 2
thou say in thine heart,  ^ 2
or sheep;  ^ 2
shall be the priest's  ^ 2
giveth thee for an inheritance,  ^ 2
upon but if  ^ 2
then the elders of his city  ^ 2
of the avenger of blood,  ^ 2
thine eye shall not  ^ 2
shall not pity  ^ 2
the guilt of innocent blood  ^ 2
landmark, which  ^ 2
shall not rise up  ^ 2
thou shalt separate three  ^ 2
of thy land, which  ^ 2
whoso killeth  ^ 2
and give thee  ^ 2
he hath sworn unto thy fathers,  ^ 2
thy god, and to walk  ^ 2
to do them, which  ^ 2
a people great,  ^ 2
great, and many,  ^ 2
and many, and tall,  ^ 2
and tall, as the anakims;  ^ 2
the lord gave  ^ 2
the brook zered.  ^ 2
thou art to pass over  ^ 2
of lot for a possession.  ^ 2
them; and they succeeded them, and dwelt  ^ 2
of esau, which dwelt  ^ 2
which dwelt in seir,  ^ 2
i have given into thine hand  ^ 2
day will i begin  ^ 2
and i sent messengers  ^ 2
king of heshbon  ^ 2
saying, let me pass  ^ 2
let me pass through thy land:  ^ 2
this mountain  ^ 2
day. and the lord  ^ 2
against us, he  ^ 2
us, he and all  ^ 2
him, and his sons, and all  ^ 2
and we took all  ^ 2
all his cities  ^ 2
his cities at that  ^ 2
only the cattle  ^ 2
delivered all  ^ 2
and they shall be afraid of  ^ 2
saying, ye  ^ 2
the children of esau,  ^ 2
of them for money,  ^ 2
of moab. and the lord  ^ 2
thy god is with  ^ 2
unto a city  ^ 2
peace unto  ^ 2
unto and it shall be,  ^ 2
that all the people  ^ 2
and when the lord thy god  ^ 2
thy god hath delivered  ^ 2
hath given thus  ^ 2
of the cities of these  ^ 2
nations. but  ^ 2
the hivites, and the jebusites;  ^ 2
against them: for  ^ 2
a long time,  ^ 2
bulwarks against  ^ 2
thou knowest that  ^ 2
they be not  ^ 2
trees for meat,  ^ 2
them, hear, o israel,  ^ 2
because of for  ^ 2
a new house,  ^ 2
and the officers shall speak  ^ 2
man is there that  ^ 2
and what man  ^ 2
a man have  ^ 2
have two  ^ 2
not make  ^ 2
a stubborn and rebellious  ^ 2
the elders of his city,  ^ 2
so shalt thou put evil away from among  ^ 2
be not defiled,  ^ 2
giveth thee for an inheritance.  ^ 2
city shall take  ^ 2
and the elders of that  ^ 2
blood, neither  ^ 2
and lay not  ^ 2
not innocent  ^ 2
see thy brother's  ^ 2
and hide thyself from  ^ 2
occasions of speech  ^ 2
an evil name  ^ 2
shall say unto  ^ 2
and she shall be his wife;  ^ 2
not put her away  ^ 2
put her away all  ^ 2
that lay with  ^ 2
evil from israel.  ^ 2
lying with  ^ 2
with a woman  ^ 2
because he hath humbled  ^ 2
his neighbor's wife:  ^ 2
only that  ^ 2
for he found  ^ 2
is not betrothed,  ^ 2
his days. a man  ^ 2
a man shall not  ^ 2
his father's skirt.  ^ 2
garment: for  ^ 2
or on  ^ 2
any man fall  ^ 2
from thou shalt not  ^ 2
thou shalt not sow  ^ 2
into the congregation of the lord.  ^ 2
thing. if  ^ 2
out of the camp,  ^ 2
and when the sun is down,  ^ 2
no unclean  ^ 2
deliver unto  ^ 2
thou shalt not oppress  ^ 2
even both  ^ 2
of any thing  ^ 2
into the congregation of the lord;  ^ 2
of the lord; even  ^ 2
it shall be no  ^ 2
into the congregation of the lord  ^ 2
of the lord forever:  ^ 2
turned the curse  ^ 2
but the lord thy god  ^ 2
seek their peace  ^ 2
thou shalt not abhor  ^ 2
her a bill of divorcement,  ^ 2
a man hath taken  ^ 2
thou shalt not go  ^ 2
to whom thou  ^ 2
his heart upon  ^ 2
go down upon  ^ 2
the judgment of the stranger,  ^ 2
command thee to do  ^ 2
thee to do this  ^ 2
the work of thine hands.  ^ 2
for the fatherless, and for the widow.  ^ 2
it shall be for the stranger,  ^ 2
the lord: and thou shalt not  ^ 2
the priests the levites  ^ 2
remember what  ^ 2
thy god did  ^ 2
and they come unto  ^ 2
when men  ^ 2
one with another,  ^ 2
a great and a small.  ^ 2
that thy days  ^ 2
a perfect and just  ^ 2
the remembrance of amalek  ^ 2
of amalek from under  ^ 2
from under heaven;  ^ 2
and have no child,  ^ 2
he will not  ^ 2
and worship before  ^ 2
the lord thy god:  ^ 2
of the land, which  ^ 2
good thing which  ^ 2
the stranger, the fatherless,  ^ 2
the fatherless, and the widow,  ^ 2
all the tithes  ^ 2
which thou hast commanded  ^ 2
and the land which  ^ 2
in his ways, and to keep  ^ 2
i am come unto  ^ 2
unto the country  ^ 2
and when we cried unto  ^ 2
the lord heard  ^ 2
out of egypt with a mighty  ^ 2
us into this  ^ 2
and levi, and judah,  ^ 2
and judah, and issachar,  ^ 2
shall stand upon  ^ 2
shall answer and say,  ^ 2
jordan unto  ^ 2
with his father's  ^ 2
law to do  ^ 2
and thou shalt write upon  ^ 2
of thy fathers hath promised  ^ 2
of this law,  ^ 2
in mount ebal,  ^ 2
stones, which  ^ 2
burnt offerings thereon  ^ 2
and rejoice before  ^ 2
upon the stones  ^ 2
the people of the lord  ^ 2
and the priests the levites  ^ 2
saying, take heed,  ^ 2
that the lord thy god  ^ 2
to observe and to do  ^ 2
of the earth shall see  ^ 2
shall see that  ^ 2
of and the lord  ^ 2
in the fruit of thy body,  ^ 2
of thy body, and in the fruit  ^ 2
and in the fruit of thy cattle,  ^ 2
of thy cattle, and in the fruit  ^ 2
and thou shalt not be  ^ 2
unto the commandments  ^ 2
and his statutes which  ^ 2
curses shall come  ^ 2
cursed shalt thou  ^ 2
shalt thou be in the city,  ^ 2
and cursed shalt thou  ^ 2
shalt thou be in the field.  ^ 2
shall be thy basket and thy store.  ^ 2
shall be the fruit of thy body,  ^ 2
of thy body, and the fruit  ^ 2
and the flocks of thy sheep.  ^ 2
shalt thou be when thou comest in,  ^ 2
shalt thou be when thou goest out.  ^ 2
shall come on  ^ 2
thou shalt hearken unto the voice  ^ 2
be when thou goest out. the lord  ^ 2
the lord shall make  ^ 2
upon thee, until  ^ 2
thee, until thou be destroyed.  ^ 2
the kingdoms of the earth.  ^ 2
the lord shall cause  ^ 2
and thou shalt be only  ^ 2
only oppressed  ^ 2
and thou shalt not prosper  ^ 2
blessed shalt thou  ^ 2
and blessed shalt thou  ^ 2
thy sons and thy daughters  ^ 2
of thine eyes which  ^ 2
neither thou  ^ 2
thou nor thy fathers  ^ 2
wood and stone.  ^ 2
which thou shalt set  ^ 2
nations whither  ^ 2
the lord shall lead  ^ 2
nor gather  ^ 2
but thou shalt not anoint  ^ 2
not unto the voice  ^ 2
to keep his commandments  ^ 2
not the lord  ^ 2
a yoke of iron  ^ 2
of iron upon  ^ 2
a nation against  ^ 2
from the end of the earth,  ^ 2
shall not regard  ^ 2
wherein thou  ^ 2
thou trustedst,  ^ 2
and he shall besiege thee in all  ^ 2
and in the straitness, wherewith  ^ 2
thine enemies shall distress  ^ 2
in the siege and straitness,  ^ 2
and straitness, wherewith  ^ 2
in this book,  ^ 2
and ye shall be left few  ^ 2
and it shall come to pass, that as  ^ 2
and the lord shall scatter  ^ 2
thou shalt say, would god  ^ 2
for bondmen and bondwomen,  ^ 2
whereof i spoke  ^ 2
that rise up against  ^ 2
thy god, and walk  ^ 2
of israel in the land  ^ 2
these are the words  ^ 2
and thy stranger that  ^ 2
to isaac, and to jacob.  ^ 2
this covenant  ^ 2
wood and stone,  ^ 2
and gold, which  ^ 2
this day from  ^ 2
lest there should be  ^ 2
the gods of these  ^ 2
unto pharaoh, and unto all  ^ 2
israel, and said  ^ 2
man, and all  ^ 2
from under heaven.  ^ 2
they have forsaken the covenant  ^ 2
they knew not,  ^ 2
of this law.  ^ 2
the great temptations  ^ 2
temptations which  ^ 2
thine eyes have seen,  ^ 2
waxen old upon  ^ 2
tribe of manasseh.  ^ 2
covenant, and do  ^ 2
the king of bashan  ^ 2
and edrei, cities  ^ 2
cities of the kingdom  ^ 2
of the kingdom of og  ^ 2
of og in bashan.  ^ 2
of the plain, and all  ^ 2
and all bashan,  ^ 2
bashan, unto  ^ 2
remained of the remnant  ^ 2
all the region  ^ 2
the region of argob,  ^ 2
the river jabbok,  ^ 2
jabbok, which is the border  ^ 2
which is the border of the children  ^ 2
even the salt sea,  ^ 2
land to possess  ^ 2
before your brethren  ^ 2
at edrei. and the lord  ^ 2
thou didst unto sihon  ^ 2
dwelt at heshbon.  ^ 2
unto me, fear  ^ 2
for i will deliver  ^ 2
your god hath done  ^ 2
so shall the lord  ^ 2
shall the lord do  ^ 2
do unto all  ^ 2
saying, o lord  ^ 2
land that  ^ 2
is beyond jordan,  ^ 2
this jordan.  ^ 2
and southward, and eastward,  ^ 2
he shall go over  ^ 2
shall go over before  ^ 2
in the valley over against  ^ 2
not a city  ^ 2
the nations, whither  ^ 2
book of the law,  ^ 2
from thee, neither  ^ 2
it unto us, that we may hear it, and do  ^ 2
that thou shouldest say, who  ^ 2
who shall go up  ^ 2
see, i have set  ^ 2
to go to possess  ^ 2
prolong your days  ^ 2
your days upon  ^ 2
life, that  ^ 2
i call heaven  ^ 2
and to jacob, to give  ^ 2
and obey the voice  ^ 2
of the lord, and do  ^ 2
in every work  ^ 2
and observe to do  ^ 2
men, and women,  ^ 2
of the congregation. and the lord  ^ 2
appeared in the tabernacle  ^ 2
and this people  ^ 2
evils and troubles  ^ 2
is not among  ^ 2
unto other  ^ 2
all the evils  ^ 2
it the children  ^ 2
i swore unto their fathers,  ^ 2
of israel into  ^ 2
the levites, which bore  ^ 2
this book  ^ 2
thee, as the lord  ^ 2
he it is that doth go  ^ 2
strange god  ^ 2
for a fire  ^ 2
a fire is kindled  ^ 2
is kindled in mine anger,  ^ 2
this. for  ^ 2
the day of their calamity  ^ 2
he seeth that  ^ 2
shall judge his people,  ^ 2
when he seeth  ^ 2
that i,  ^ 2
and there is no god  ^ 2
for i lift up  ^ 2
i testify  ^ 2
