Phrase ^ Count
and the lord spoke unto moses, saying,  ^ 72
of uzziah, jotham, ahaz, and hezekiah, kings  ^ 2
they shall not hurt nor destroy in all  ^ 2
hurt nor destroy in all my holy  ^ 2
terrible from their beginning hitherto; a nation  ^ 2
from their beginning hitherto; a nation meted out  ^ 2
and the lord alone shall be exalted in that day.  ^ 2
for fear of the lord, and for the glory of his majesty,  ^ 2
fear of the lord, and for the glory of his majesty, when he ariseth  ^ 2
of the lord, and for the glory of his majesty, when he ariseth to shake terribly  ^ 2
and for the glory of his majesty, when he ariseth to shake terribly the earth.  ^ 2
his idols of silver, and his idols of gold, which  ^ 2
the house of the god of jacob; and he will teach us of his ways,  ^ 2
of the god of jacob; and he will teach us of his ways, and we will walk  ^ 2
of jacob; and he will teach us of his ways, and we will walk in his paths:  ^ 2
and he will teach us of his ways, and we will walk in his paths: for  ^ 2
and they shall beat their swords into plowshares, and their spears into pruning hooks:  ^ 2
their swords into plowshares, and their spears into pruning hooks: nation  ^ 2
into plowshares, and their spears into pruning hooks: nation shall not  ^ 2
and their spears into pruning hooks: nation shall not lift up  ^ 2
and the word of the lord from jerusalem. and he shall judge among  ^ 2
against nation, neither shall they learn war  ^ 2
nation, neither shall they learn war any more.  ^ 2
for thus hath the lord said unto  ^ 2
line upon line, line upon line; here  ^ 2
upon line, line upon line; here a little,  ^ 2
line upon line; here a little, and there  ^ 2
precept upon precept; line upon line, line  ^ 2
upon precept; line upon line, line upon line;  ^ 2
therefore thus saith the lord god,  ^ 2
saying, read this, i pray thee: and he saith,  ^ 2
for thus saith the lord god,  ^ 2
sing unto the lord a new song, and his praise  ^ 2
saith the lord of hosts. thus saith  ^ 2
o daughter of the chaldeans: for thou shalt no more  ^ 2
that i the lord am thy savior and thy redeemer,  ^ 2
i the lord am thy savior and thy redeemer, the mighty one  ^ 2
the lord am thy savior and thy redeemer, the mighty one of jacob.  ^ 2
saith the lord. thus saith the lord,  ^ 2
what seest thou? and i said, i  ^ 2
seest thou? and i said, i see  ^ 2
and the word of the lord came unto me the second time,  ^ 2
of the lord came unto me the second time, saying,  ^ 2
of josiah the son of amon king of judah,  ^ 2
the son of josiah king of judah, unto  ^ 2
then said i, ah, lord god! behold,  ^ 2
he hath made the earth by his power, he hath established the world  ^ 2
the earth by his power, he hath established the world by his wisdom,  ^ 2
by his power, he hath established the world by his wisdom, and hath stretched out  ^ 2
to ascend from the ends of the earth; he maketh lightnings  ^ 2
he maketh lightnings with rain, and bringeth forth the wind  ^ 2
lightnings with rain, and bringeth forth the wind out of his treasures.  ^ 2
with rain, and bringeth forth the wind out of his treasures. every  ^ 2
founder is confounded by the graven image: for his molten image  ^ 2
is confounded by the graven image: for his molten image is falsehood,  ^ 2
by the graven image: for his molten image is falsehood, and there is no  ^ 2
for his molten image is falsehood, and there is no breath  ^ 2
and bringeth forth the wind out of his treasures. every man  ^ 2
the wind out of his treasures. every man is brutish  ^ 2
every founder is confounded by the graven image: for  ^ 2
his molten image is falsehood, and there is no breath they  ^ 2
is falsehood, and there is no breath they are vanity,  ^ 2
of errors: in the time of their visitation they shall perish. the portion  ^ 2
in the time of their visitation they shall perish. the portion of jacob  ^ 2
of their visitation they shall perish. the portion of jacob is not  ^ 2
therefore thus saith the lord, behold,  ^ 2
therefore pray not thou for this  ^ 2
not thou for this people,  ^ 2
thou for this people, neither  ^ 2
for this people, neither lift up  ^ 2
saying, hear ye the words of this  ^ 2
hear ye the words of this covenant,  ^ 2
the reins and the heart, let me see thy vengeance on  ^ 2
and the heart, let me see thy vengeance on them: for  ^ 2
let me see thy vengeance on them: for unto  ^ 2
therefore thus saith the lord of  ^ 2
the words of this covenant, which i commanded  ^ 2
your fathers in the day that i brought them forth out of the land of egypt,  ^ 2
not, nor inclined their ear, but walked  ^ 2
of the lord came unto me, saying, thus  ^ 2
unto me, saying, thus saith the lord,  ^ 2
thus saith the lord concerning the prophets  ^ 2
the lord liveth, that brought up the children  ^ 2
liveth, that brought up the children of israel  ^ 2
brought up the children of israel out of the land of egypt;  ^ 2
the days come, saith the lord, that it shall no  ^ 2
come, saith the lord, that it shall no more  ^ 2
the children of israel out of the land of egypt; but,  ^ 2
of israel out of the land of egypt; but, the lord  ^ 2
out of the land of egypt; but, the lord liveth,  ^ 2
the voice of mirth, and the voice of gladness, the voice  ^ 2
that enter in by these gates: thus saith  ^ 2
sitting upon the throne of david, riding  ^ 2
upon the throne of david, riding in chariots  ^ 2
the throne of david, riding in chariots and on horses,  ^ 2
of jerusalem, saying, thus saith the lord;  ^ 2
i shall speak concerning a nation, and concerning a kingdom,  ^ 2
unto them, thus saith the lord of hosts;  ^ 2
all the people, thus saith the lord  ^ 2
the god of israel; behold, i will bring upon  ^ 2
more be called tophet, nor the valley of the son  ^ 2
be called tophet, nor the valley of the son of hinnom,  ^ 2
tophet, nor the valley of the son of hinnom, but  ^ 2
nor the valley of the son of hinnom, but the valley  ^ 2
like fire, and burn that none can quench it , because  ^ 2
and burn that none can quench it , because of the evil  ^ 2
that none can quench it , because of the evil of your doings.  ^ 2
there this word, and say, hear  ^ 2
this word, and say, hear the word  ^ 2
word, and say, hear the word of the lord,  ^ 2
thus saith the lord of hosts concerning  ^ 2
the lord. therefore thus saith the lord  ^ 2
thus saith the lord god of israel  ^ 2
behold, i am against the prophets, saith the lord,  ^ 2
jeconiah the son of jehoiakim king of judah,  ^ 2
and they shall be my people, and i will be their god:  ^ 2
came to jeremiah concerning all  ^ 2
of gladness, the voice of the bridegroom, and the voice of the bride,  ^ 2
many nations and great kings shall serve  ^ 2
unto them, thus saith the lord of hosts,  ^ 2
them, thus saith the lord of hosts, the god  ^ 2
the lord. thus saith the lord of hosts,  ^ 2
and go not after other gods  ^ 2
not after other gods to serve  ^ 2
king of judah came this word  ^ 2
in the beginning of the reign of jehoiakim the son of josiah  ^ 2
of the reign of jehoiakim the son of josiah king  ^ 2
of jehoiakim the son of josiah king of judah  ^ 2
the son of josiah king of judah came  ^ 2
of josiah king of judah came this  ^ 2
the princes and to all the people, saying,  ^ 2
of judah, saying, thus saith the lord  ^ 2
and jerusalem shall become heaps, and the mountain of the house  ^ 2
shall become heaps, and the mountain of the house as the high places  ^ 2
unto jeremiah from the lord, saying,  ^ 2
ye shall not serve the king of babylon: for  ^ 2
serve the king of babylon: for they  ^ 2
the king of babylon: for they prophesy  ^ 2
of babylon: for they prophesy a lie  ^ 2
unto you, saying, ye shall not serve the king  ^ 2
you, saying, ye shall not serve the king of babylon:  ^ 2
in the beginning of the reign of zedekiah king of judah,  ^ 2
thus speaketh the lord of hosts, the god  ^ 2
speaketh the lord of hosts, the god of israel,  ^ 2
the lord of hosts, the god of israel, saying,  ^ 2
build ye houses, and dwell in them ; and plant gardens,  ^ 2
ye houses, and dwell in them ; and plant gardens, and eat  ^ 2
and dwell in them ; and plant gardens, and eat the fruit  ^ 2
the lord. the word that came to  ^ 2
and thy seed from the land of their captivity; and jacob shall return,  ^ 2
all the words that i have spoken unto  ^ 2
the evidence of the purchase unto baruch the son  ^ 2
of the purchase unto baruch the son of neriah,  ^ 2
thus saith the lord; behold, i will give  ^ 2
saith the lord; behold, i will give this  ^ 2
the lord; behold, i will give this city  ^ 2
i will give this city into the hand of the king  ^ 2
this city into the hand of the king of babylon,  ^ 2
which i commanded them not, neither came  ^ 2
i commanded them not, neither came it into  ^ 2
saith the lord, the god of israel, concerning  ^ 2
of benjamin, and in the places about jerusalem, and in the cities of judah,  ^ 2
the lord. thus saith the lord of hosts;  ^ 2
unto jeremiah, saying, thus saith  ^ 2
fought against jerusalem, and against all  ^ 2
against jerusalem, and against all the cities  ^ 2
the son of josiah king of judah, saying,  ^ 2
saith the lord, the god of hosts, the god  ^ 2
the lord, the god of hosts, the god of israel;  ^ 2
thus saith the lord, the god of hosts,  ^ 2
of the people that remained in the city, and those that fell away, that  ^ 2
that remained in the city, and those that fell away, that fell  ^ 2
in the city, and those that fell away, that fell to  ^ 2
unto gedaliah the son of ahikam to mizpah;  ^ 2
johanan the son of kareah, and all the captains  ^ 2
from the evil that i will bring  ^ 2
saith the lord, the god of israel, unto  ^ 2
the son of kareah, and all the captains of the forces,  ^ 2
to burn incense to the queen of heaven, and to pour out drink offerings  ^ 2
unto you all my servants the prophets,  ^ 2
king of judah, saying, thus saith  ^ 2
that came to jeremiah the prophet  ^ 2
saith the king, whose name is the lord of hosts.  ^ 2
for thus saith the lord; behold,  ^ 2
a rumor from the lord, and an ambassador is sent  ^ 2
from her: and who is a chosen man, that i may appoint over  ^ 2
her: and who is a chosen man, that i may appoint over her? for  ^ 2
is a chosen man, that i may appoint over her? for who  ^ 2
man, that i may appoint over her? for who is like me?  ^ 2
over her? for who is like me? and who  ^ 2
who is like me? and who will appoint me the time? and who  ^ 2
is like me? and who will appoint me the time? and who is that  ^ 2
and who will appoint me the time? and who is that shepherd  ^ 2
will appoint me the time? and who is that shepherd that  ^ 2
is that shepherd that will stand before  ^ 2
behold, he shall come up like a lion from the swelling of jordan  ^ 2
shepherd that will stand before therefore  ^ 2
surely the least of the flock shall draw them out: surely  ^ 2
that will stand before therefore hear  ^ 2
of war shall be cut off in that day, saith  ^ 2
the lord: shall not my soul be avenged on such  ^ 2
shall i not visit for these things ? saith  ^ 2
visit for these things ? saith the lord:  ^ 2
these things ? saith the lord: shall not my soul  ^ 2
things ? saith the lord: shall not my soul be avenged  ^ 2
in those days, and in that time, saith  ^ 2
days, and in that time, saith the lord,  ^ 2
a perpetual sleep, and not wake, saith  ^ 2
of hosts. thus saith the lord of hosts;  ^ 2
even unto the priest every one dealeth falsely.  ^ 2
saying, peace, peace; when there is no peace.  ^ 2
slightly, saying, peace, peace; when there is no  ^ 2
peace, peace; when there is no peace. were they ashamed  ^ 2
they were not at all ashamed, neither could they blush:  ^ 2
at all ashamed, neither could they blush: therefore  ^ 2
peace; when there is no peace. were they ashamed when  ^ 2
when there is no peace. were they ashamed when they had committed  ^ 2
peace. were they ashamed when they had committed abomination?  ^ 2
were they ashamed when they had committed abomination? nay,  ^ 2
when they had committed abomination? nay, they were not  ^ 2
they had committed abomination? nay, they were not at all ashamed,  ^ 2
abomination? nay, they were not at all ashamed, neither  ^ 2
nay, they were not at all ashamed, neither could  ^ 2
