Phrase ^ Count
thus saith the lord  ^ 223
to do all these  ^ 2
thy god, to observe to do  ^ 2
to observe to do all  ^ 2
thy god giveth thee, thou shalt not  ^ 2
and the fatherless, and the widow, that  ^ 2
because the lord thy god  ^ 2
all the days of thy life.  ^ 2
thy god shall choose to place  ^ 2
for that is an abomination  ^ 2
of this law in  ^ 2
unto the lord thy god. if  ^ 2
in the sight of the lord thy god,  ^ 2
other gods, and worshiped  ^ 2
at the mouth of two  ^ 2
the mouth of two witnesses,  ^ 2
of two witnesses, or  ^ 2
shall be in those days,  ^ 2
the lord thy god doth drive them out  ^ 2
thy god doth drive them out from before  ^ 2
this great fire  ^ 2
unto them all  ^ 2
them all that  ^ 2
which i have not commanded  ^ 2
in my name, which i have not  ^ 2
and if thou say in thine heart,  ^ 2
which the lord hath not  ^ 2
thou shalt not be afraid of  ^ 2
thy god giveth thee for an inheritance,  ^ 2
thy land, which the lord  ^ 2
thine eye shall not pity  ^ 2
before the lord, before  ^ 2
thou shalt separate three cities  ^ 2
of thy land, which the lord  ^ 2
unto one of those  ^ 2
the land which he promised  ^ 2
to love the lord thy god,  ^ 2
by the way of the red sea,  ^ 2
a people great, and many,  ^ 2
great, and many, and tall,  ^ 2
and many, and tall, as the anakims;  ^ 2
of esau, which dwelt in seir,  ^ 2
this day will i begin  ^ 2
saying, let me pass through thy land:  ^ 2
jordan into the land  ^ 2
day. and the lord said  ^ 2
said unto me, behold,  ^ 2
came out against us, he  ^ 2
against us, he and all  ^ 2
us, he and all his people,  ^ 2
and we took all his cities  ^ 2
all his cities at that  ^ 2
his cities at that time,  ^ 2
of them: for the lord  ^ 2
them: for the lord thy god  ^ 2
the lord thy god is with  ^ 2
as the lord thy god  ^ 2
that they be not  ^ 2
unto them, hear, o israel,  ^ 2
unto the people, saying,  ^ 2
saying, what man  ^ 2
unto his house, lest he die  ^ 2
if a man have  ^ 2
unto the elders of his city,  ^ 2
thy god giveth thee for an inheritance.  ^ 2
of that city shall take  ^ 2
and the elders of that city  ^ 2
not innocent blood  ^ 2
thou shalt not see thy brother's  ^ 2
an evil name upon  ^ 2
not put her away all  ^ 2
put her away all his days.  ^ 2
if a man be found  ^ 2
enter into the congregation of the lord.  ^ 2
thing. if there be  ^ 2
of any thing that  ^ 2
enter into the congregation of the lord;  ^ 2
into the congregation of the lord; even  ^ 2
when a man hath taken  ^ 2
i command thee to do  ^ 2
command thee to do this  ^ 2
thee to do this thing.  ^ 2
for the stranger, for the fatherless, and for the widow.  ^ 2
it shall be for the stranger, for the fatherless,  ^ 2
what the lord thy god  ^ 2
the lord thy god did  ^ 2
the remembrance of amalek from under  ^ 2
the stranger, the fatherless, and the widow,  ^ 2
thine heart, and with all thy soul.  ^ 2
above all nations  ^ 2
and levi, and judah, and issachar,  ^ 2
that floweth with milk and honey;  ^ 2
god of thy fathers hath promised  ^ 2
them all the words  ^ 2
in the fruit of thy body, and in the fruit  ^ 2
of thy body, and in the fruit of thy cattle,  ^ 2
and in the fruit of thy cattle, and in the fruit  ^ 2
his commandments and his statutes which  ^ 2
these curses shall come  ^ 2
curses shall come upon  ^ 2
shall be the fruit of thy body, and the fruit  ^ 2
of thy kine, and the flocks of thy sheep.  ^ 2
thou shalt hearken unto the voice of the lord  ^ 2
shalt thou be when thou goest out. the lord  ^ 2
upon thee, until thou be destroyed.  ^ 2
into all the kingdoms of the earth.  ^ 2
and thou shalt be only oppressed  ^ 2
of thine eyes which thou shalt see.  ^ 2
which neither thou  ^ 2
neither thou nor thy fathers  ^ 2
whither the lord shall lead  ^ 2
thy god, to keep his commandments  ^ 2
to keep his commandments and his statutes  ^ 2
a yoke of iron upon  ^ 2
wherein thou trustedst,  ^ 2
and in the straitness, wherewith thine enemies  ^ 2
wherewith thine enemies shall distress  ^ 2
in the siege and straitness, wherewith  ^ 2
to do all the words  ^ 2
obey the voice of the lord  ^ 2
of the covenant, which the lord  ^ 2
to abraham, to isaac, and to jacob.  ^ 2
and moses called unto  ^ 2
all israel, and said  ^ 2
israel, and said unto  ^ 2
the curses that are written in this  ^ 2
that are written in this book  ^ 2
wherefore hath the lord done  ^ 2
because they have forsaken the covenant  ^ 2
they have forsaken the covenant of the lord  ^ 2
whom they knew not,  ^ 2
upon it all  ^ 2
the words of this law.  ^ 2
the great temptations which  ^ 2
temptations which thine eyes  ^ 2
which thine eyes have seen,  ^ 2
of this covenant, and do  ^ 2
and og the king of bashan  ^ 2
and edrei, cities of the kingdom  ^ 2
cities of the kingdom of og  ^ 2
the cities of the plain, and all  ^ 2
all the region of argob,  ^ 2
even unto the river jabbok,  ^ 2
the river jabbok, which is the border  ^ 2
jabbok, which is the border of the children  ^ 2
which is the border of the children of ammon;  ^ 2
even unto the sea of the plain,  ^ 2
of the plain, even the salt sea,  ^ 2
thou didst unto sihon king  ^ 2
unto sihon king of the amorites,  ^ 2
at edrei. and the lord said  ^ 2
which dwelt at heshbon.  ^ 2
the lord your god hath done  ^ 2
no more unto  ^ 2
go over this jordan.  ^ 2
before this people,  ^ 2
he shall go over before  ^ 2
there was not a city  ^ 2
the nations, whither the lord  ^ 2
whither the lord thy god  ^ 2
these things are come  ^ 2
things are come upon  ^ 2
prolong your days upon  ^ 2
i call heaven and earth  ^ 2
according to all that i  ^ 2
to abraham, to isaac, and to jacob,  ^ 2
to isaac, and to jacob, to give  ^ 2
thee into the land which  ^ 2
thine heart, and with all thy soul,  ^ 2
words unto all  ^ 2
to appear before the lord  ^ 2
men, and women, and children,  ^ 2
in the land whither  ^ 2
the land whither ye  ^ 2
jordan to possess and the lord  ^ 2
for all the evils  ^ 2
all the evils which  ^ 2
israel. and he said unto  ^ 2
and he said unto them, i  ^ 2
which i swore unto their fathers,  ^ 2
and of a good courage: for thou  ^ 2
the levites, which bore the ark  ^ 2
of the covenant of the lord your god,  ^ 2
for a fire is kindled  ^ 2
a fire is kindled in mine anger,  ^ 2
of speaking all these  ^ 2
i give unto the children  ^ 2
get thee up into this  ^ 2
as aaron thy brother  ^ 2
moses the man of god  ^ 2
i swore unto abraham, unto isaac,  ^ 2
and go in and possess the land  ^ 2
the lord god of your fathers  ^ 2
tables of stone. and the lord  ^ 2
them in the land whither ye  ^ 2
is in the waters beneath the earth:  ^ 2
the covenant of the lord your god,  ^ 2
see, nor hear,  ^ 2
(for the lord thy god  ^ 2
which were before  ^ 2
speaking out of the midst of the fire,  ^ 2
the lord your god did  ^ 2
he is god in heaven  ^ 2
is god in heaven above,  ^ 2
and his commandments, which i  ^ 2
three cities on this side  ^ 2
moses and the children of israel  ^ 2
and the land of og king  ^ 2
which shall hear all  ^ 2
all these statutes,  ^ 2
all the days of thy life:  ^ 2
which i speak  ^ 2
and said unto them, hear,  ^ 2
and fourth generation of them that hate and showing  ^ 2
generation of them that hate and showing mercy  ^ 2
and showing mercy unto thousands  ^ 2
mercy unto thousands of them that love  ^ 2
the lord will not hold him guiltless  ^ 2
will not hold him guiltless that  ^ 2
hold him guiltless that taketh  ^ 2
that taketh his name  ^ 2
taketh his name in vain.  ^ 2
my commandments. thou shalt not take  ^ 2
thou shalt not take the name  ^ 2
take the name of the lord  ^ 2
the name of the lord thy god  ^ 2
and do all thy work:  ^ 2
all thy work: but the seventh  ^ 2
any work, thou,  ^ 2
work, thou, nor thy son,  ^ 2
thou, nor thy son, nor thy daughter,  ^ 2
thy work: but the seventh day  ^ 2
day is the sabbath of the lord  ^ 2
is the sabbath of the lord thy god:  ^ 2
of the lord thy god: in it thou shalt not  ^ 2
thy god: in it thou shalt not do  ^ 2
in it thou shalt not do any  ^ 2
do any work,  ^ 2
giveth thou shalt not kill.  ^ 2
false witness against thy neighbor.  ^ 2
in the mount out of the midst of the fire,  ^ 2
the commandments, and the statutes, and the judgments,  ^ 2
the lord your god hath commanded  ^ 2
saying, i am the lord  ^ 2
am the lord thy god, which  ^ 2
other gods before  ^ 2
gods before thou shalt not  ^ 2
above, or that is in the earth  ^ 2
or that is in the earth beneath,  ^ 2
is in the earth beneath, or that  ^ 2
before thou shalt not make  ^ 2
or any likeness of any thing that  ^ 2
likeness of any thing that is in heaven  ^ 2
of any thing that is in heaven above,  ^ 2
is in heaven above, or that  ^ 2
thy god am a jealous god,  ^ 2
am a jealous god, visiting  ^ 2
god, visiting the iniquity  ^ 2
visiting the iniquity of the fathers  ^ 2
the third and fourth generation of them that hate  ^ 2
the earth: thou shalt not bow down thyself  ^ 2
serve them: for i  ^ 2
them: for i the lord  ^ 2
the lord thy god am a jealous  ^ 2
which he swore unto thy fathers,  ^ 2
other gods, of the gods  ^ 2
gods, of the gods of the people  ^ 2
thy son asketh thee in time to come,  ^ 2
asketh thee in time to come, saying,  ^ 2
thee in time to come, saying, what  ^ 2
nations greater and mightier  ^ 2
greater and mightier than  ^ 2
which he swore unto thy fathers  ^ 2
he swore unto thy fathers to give  ^ 2
all the people which  ^ 2
of whom thou art afraid.  ^ 2
their name from under heaven:  ^ 2
are upon the face of the earth.  ^ 2
land which he hath given  ^ 2
i command thee this day:  ^ 2
forty years in the wilderness,  ^ 2
and it came to pass at the end of forty  ^ 2
which thou hast brought forth out of egypt  ^ 2
the way which i commanded  ^ 2
and, behold, it is a stiffnecked  ^ 2
it is a stiffnecked people:  ^ 2
i have seen this people,  ^ 2
this people, and, behold,  ^ 2
people, and, behold, it  ^ 2
eat bread, nor  ^ 2
the lord forty days  ^ 2
and said, o lord god,  ^ 2
of these nations the lord  ^ 2
which the lord made  ^ 2
in the mount forty days  ^ 2
the son of david, king  ^ 2
things that are done under  ^ 2
all is vanity and vexation  ^ 2
saying, lo, i  ^ 2
vanity of vanities, saith  ^ 2
which i have seen under the sun,  ^ 2
not thine hand: for  ^ 2
but if a man  ^ 2
whether it be good, or whether  ^ 2
this also is vanity.  ^ 2
i said in mine heart,  ^ 2
happeneth to them all.  ^ 2
unto me: for all  ^ 2
also is vanity and vexation  ^ 2
which god hath given  ^ 2
so that no man  ^ 2
of all the people, even of all  ^ 2
that have been before  ^ 2
work that is done  ^ 2
is done under the sun.  ^ 2
this is also vanity  ^ 2
is also vanity and vexation  ^ 2
vanity and vexation of spirit.  ^ 2
the days of his life, which  ^ 2
of his life, which god  ^ 2
which god giveth  ^ 2
to whom god hath given  ^ 2
god: for god  ^ 2
under the sun, and it  ^ 2
for who can tell  ^ 2
the heart of the sons of men  ^ 2
not before god.  ^ 2
is done under the sun:  ^ 2
for all this  ^ 2
under the sun, that  ^ 2
saints which are at  ^ 2
which are in heaven,  ^ 2
whom ye also  ^ 2
in my prayers,  ^ 2
inheritance in the  ^ 2
the saints, and  ^ 2
according to the working  ^ 2
and power, and  ^ 2
power, and might,  ^ 2
in heavenly places in  ^ 2
according to the riches  ^ 2
to the riches of his  ^ 2
world, according to the  ^ 2
in the lusts  ^ 2
through christ jesus.  ^ 2
not of works,  ^ 2
christ for you  ^ 2
in heaven and  ^ 2
by his spirit  ^ 2
unto the sons of men,  ^ 2
the unity of the  ^ 2
for we are members  ^ 2
as christ also  ^ 2
and gave himself  ^ 2
shall a man leave his  ^ 2
leave his father  ^ 2
his father and  ^ 2
wrath of god upon  ^ 2
of god upon the  ^ 2
fruit of the spirit  ^ 2
in the lord: for  ^ 2
in the power  ^ 2
finally, my brethren,  ^ 2
of god, that ye may be able  ^ 2
in the spirit, and  ^ 2
which is the first  ^ 2
is the first commandment  ^ 2
the father and the lord  ^ 2
is in heaven;  ^ 2
into all the king's  ^ 2
all the king's provinces,  ^ 2
then said the king's servants  ^ 2
the king's servants that ministered  ^ 2
to lay hand on the king  ^ 2
hand on the king ahasuerus.  ^ 2
two of the king's chamberlains,  ^ 2
unto shushan the palace,  ^ 2
shushan the palace, to  ^ 2
to the custody of hegai,  ^ 2
after these things  ^ 2
his ring from his hand,  ^ 2
then were the king's scribes called  ^ 2
day of the twelfth month, which  ^ 2
the copy of the writing for a commandment  ^ 2
of the writing for a commandment to be given  ^ 2
for a commandment to be given in every  ^ 2
to be given in every province  ^ 2
in every province was published  ^ 2
province was published unto all  ^ 2
was published unto all people,  ^ 2
pur, that is , the lot,  ^ 2
and did according to all that  ^ 2
whithersoever the king's commandment  ^ 2
commandment and his decree came,  ^ 2
court of the king's house,  ^ 2
with the king unto  ^ 2
zeresh his wife and all  ^ 2
his wife and all his friends  ^ 2
let the king and haman come  ^ 2
so the king and haman came  ^ 2
to the banquet that  ^ 2
the banquet that esther  ^ 2
that esther had prepared.  ^ 2
and it shall be granted thee: and what is thy request?  ^ 2
and the king said unto esther  ^ 2
at the banquet of wine, what  ^ 2
before him, thus shall it be done  ^ 2
unto the man whom the king  ^ 2
the king delighteth to honor.  ^ 2
on the gallows that  ^ 2
the gallows that he had prepared  ^ 2
the king delighteth to honor,  ^ 2
i have found favor in thy sight,  ^ 2
it please the king, and if  ^ 2
and destroyed five hundred  ^ 2
it a day of feasting and gladness.  ^ 2
the fourteenth day of the month  ^ 2
and of sending portions one  ^ 2
the fear of them fell upon  ^ 2
the provinces of the king ahasuerus,  ^ 2
day of the month adar,  ^ 2
are the names of the children of israel,  ^ 2
of the children of israel, which came  ^ 2
of which the name of the one  ^ 2
charged all his people,  ^ 2
all his people, saying,  ^ 2
unto moses, go in  ^ 2
moses, go in unto  ^ 2
be so with  ^ 2
every herb of the land,  ^ 2
even all that  ^ 2
stretch out thine hand over  ^ 2
over the land of egypt  ^ 2
all that day,  ^ 2
that day, and all  ^ 2
and moses stretched forth his rod  ^ 2
over the land of egypt,  ^ 2
all the land of egypt,  ^ 2
the land of egypt. then pharaoh  ^ 2
of egypt. then pharaoh called  ^ 2
then pharaoh called for moses  ^ 2
from pharaoh, and entreated  ^ 2
pharaoh, and entreated the lord.  ^ 2
and entreated the lord. and the lord  ^ 2
but the lord hardened pharaoh's  ^ 2
pharaoh's heart, so that he would not  ^ 2
heart, so that he would not let  ^ 2
so that he would not let the children  ^ 2
let the children of israel  ^ 2
go. and the lord said  ^ 2
thine hand toward heaven,  ^ 2
toward heaven, that there may be  ^ 2
and moses stretched forth his hand  ^ 2
also go with  ^ 2
called unto moses,  ^ 2
and we know not  ^ 2
i am the lord. and moses  ^ 2
go, that they may serve else,  ^ 2
that they may serve else, if  ^ 2
if thou refuse  ^ 2
my people go, behold,  ^ 2
said unto him, how long  ^ 2
the children of israel go  ^ 2
of israel go out of his land.  ^ 2
and the lord gave the people  ^ 2
gave the people favor  ^ 2
the people favor in the sight  ^ 2
the firstborn in the land of egypt  ^ 2
throughout all the land of egypt,  ^ 2
such as there was none  ^ 2
shall not hearken unto  ^ 2
unto moses and aaron  ^ 2
of israel, and said unto  ^ 2
moses and aaron, so  ^ 2
and aaron, so did  ^ 2
and did as the lord  ^ 2
the lord had commanded moses  ^ 2
and there was a great cry  ^ 2
and jewels of gold, and raiment:  ^ 2
of the children of israel, who  ^ 2
there shall no stranger eat  ^ 2
and unto the stranger that sojourneth among  ^ 2
the children of israel; as  ^ 2
eat not of  ^ 2
and it shall be when the lord  ^ 2
when the lord shall bring  ^ 2
the lord shall bring thee into  ^ 2
thee into the land of the canaanites,  ^ 2
all that openeth the matrix,  ^ 2
for by strength of hand  ^ 2
by strength of hand the lord  ^ 2
had let the people go,  ^ 2
and the children of israel went up  ^ 2
of israel, saying, god  ^ 2
saying, god will surely visit  ^ 2
flowing with milk and honey,  ^ 2
the land of the canaanites, and the hittites,  ^ 2
seven days thou shalt eat  ^ 2
days thou shalt eat unleavened bread,  ^ 2
for with a strong hand  ^ 2
thy rod, and stretch out thine hand  ^ 2
thine hand over the sea,  ^ 2
and the egyptians shall know that  ^ 2
stretched out his hand over  ^ 2
were a wall unto them on their right hand, and on their left.  ^ 2
his hand over the sea,  ^ 2
may know that i  ^ 2
of israel went out with a high  ^ 2
and the lord hardened the heart  ^ 2
the horse and his rider hath he thrown  ^ 2
and his rider hath he thrown into the sea.  ^ 2
the lord is my strength and song,  ^ 2
they could not drink  ^ 2
and the people murmured against  ^ 2
murmured against moses,  ^ 2
day of the second month  ^ 2
of israel did so,  ^ 2
and the whole congregation of the children  ^ 2
of the children of israel murmured  ^ 2
and moses was wroth with  ^ 2
unto moses, how long  ^ 2
into this wilderness,  ^ 2
and moses said, this  ^ 2
said, this is the thing  ^ 2
forty years, until  ^ 2
bread from heaven  ^ 2
that ye murmur against  ^ 2
against the lord: and what  ^ 2
ye murmur against and moses  ^ 2
water for the people to drink.  ^ 2
unto moses, write  ^ 2
and jethro, moses' father-in-law,  ^ 2
moses' father-in-law, took  ^ 2
and it came to pass on the morrow, that moses  ^ 2
what is this thing  ^ 2
is this thing that  ^ 2
that thou doest  ^ 2
saw all that  ^ 2
that he did  ^ 2
of hundreds, rulers of fifties,  ^ 2
rulers of fifties, and rulers  ^ 2
the people at all seasons:  ^ 2
for he said, i have been  ^ 2
and he said unto moses,  ^ 2
all the travail that  ^ 2
rejoiced for all  ^ 2
the same day came  ^ 2
unto moses, go  ^ 2
moses, go unto  ^ 2
ready against the third day:  ^ 2
and he said unto the people,  ^ 2
upon mount sinai,  ^ 2
and the lord called unto  ^ 2
called unto him out of  ^ 2
of israel; ye have seen  ^ 2
for all the earth  ^ 2
the words of the people unto  ^ 2
of the people unto the lord.  ^ 2
that there was no man,  ^ 2
was content to dwell with  ^ 2
and pharaoh's daughter said  ^ 2
