Phrase ^ Count
thus saith the lord god;  ^ 95
unto moses, saying, when  ^ 2
every one that passeth among them that are numbered,  ^ 2
before the lord, to make an atonement for  ^ 2
and the altar of incense, and the altar of burnt offering  ^ 2
of incense, and the altar of burnt offering with all  ^ 2
the children of israel, saying, this  ^ 2
garments for aaron the priest, and the garments  ^ 2
for aaron the priest, and the garments of his sons,  ^ 2
soul shall be cut off from among his people.  ^ 2
by name bezaleel the son of uri,  ^ 2
us gods, which shall go before  ^ 2
as for this moses, the man that  ^ 2
moses, the man that brought us up  ^ 2
the man that brought us up out of the land  ^ 2
that brought us up out of the land of egypt,  ^ 2
brought us up out of the land of egypt, we know  ^ 2
out of the land of egypt, we know not  ^ 2
of egypt, we know not what  ^ 2
we know not what is become  ^ 2
unto them, thus saith the lord god  ^ 2
said unto the people, ye  ^ 2
and moses returned unto the lord,  ^ 2
returned unto the lord, and said,  ^ 2
these be thy gods, o israel, which  ^ 2
the land which i swore unto abraham,  ^ 2
and the anointing oil, and the sweet incense,  ^ 2
oil, and the sweet incense, and the hanging  ^ 2
his staves, and all his vessels, the laver  ^ 2
and all his vessels, the laver and his foot,  ^ 2
his vessels, the laver and his foot,   ^ 2
the laver and his foot,  the hangings  ^ 2
and his foot,  the hangings of the court,  ^ 2
 the hangings of the court, his pillars,  ^ 2
the holy garments for aaron the priest,  ^ 2
of israel, saying, this is the thing  ^ 2
saying, this is the thing which  ^ 2
bezaleel and aholiab, and every wise  ^ 2
and aholiab, and every wise hearted  ^ 2
and every wise hearted man,  ^ 2
of blue, and purple, and scarlet, and fine twined linen:  ^ 2
and a half the height and he overlaid it with pure  ^ 2
and he cast for it four rings of gold,  ^ 2
of shittim wood, and overlaid them with gold.  ^ 2
twenty; the hooks of the pillars and their fillets  ^ 2
cubits; their pillars three, and their sockets  ^ 2
of gold, blue, and purple, and scarlet,  ^ 2
blue, and purple, and scarlet, and fine twined linen.  ^ 2
the lord commanded moses. and they made  ^ 2
commanded moses, so the children  ^ 2
moses, so the children of israel  ^ 2
and i will be with thy mouth,  ^ 2
unto and the lord said unto  ^ 2
which the lord had spoken unto  ^ 2
and it shall come to pass, if they will not believe  ^ 2
the lord commanded him, so did  ^ 2
the lord commanded moses. and he put  ^ 2
on the side of the tabernacle southward.  ^ 2
the laver between the tent of the congregation  ^ 2
between the tent of the congregation and the altar,  ^ 2
and the glory of the lord filled the tabernacle.  ^ 2
then the lord said unto moses,  ^ 2
speak unto pharaoh king  ^ 2
unto pharaoh king of egypt,  ^ 2
and the sons of simeon; jemuel, and jamin,  ^ 2
of simeon; jemuel, and jamin, and ohad,  ^ 2
jemuel, and jamin, and ohad, and jachin,  ^ 2
and jamin, and ohad, and jachin, and zohar,  ^ 2
and ohad, and jachin, and zohar, and shaul  ^ 2
and jachin, and zohar, and shaul the son  ^ 2
all that i say  ^ 2
the river. and the lord spoke unto  ^ 2
spoke unto moses, say  ^ 2
unto aaron, take thy rod,  ^ 2
throughout all the land of egypt. and the magicians  ^ 2
and unto aaron, saying, when  ^ 2
pharaoh, and say unto him, thus  ^ 2
that thou mayest know that there is none  ^ 2
cried unto the lord because of  ^ 2
and the lord did according to the word of moses;  ^ 2
lice throughout all the land of egypt.  ^ 2
the land of egypt. and the magicians did  ^ 2
of egypt. and the magicians did so  ^ 2
and he hearkened not unto them; as  ^ 2
said unto moses, rise up early  ^ 2
unto moses, rise up early in the morning,  ^ 2
moses, rise up early in the morning, and stand  ^ 2
rise up early in the morning, and stand before  ^ 2
the lord god of the hebrews, let  ^ 2
god of the hebrews, let my people  ^ 2
of the hebrews, let my people go,  ^ 2
could not stand before  ^ 2
my people go, that they may serve for  ^ 2
man, and upon beast, and upon  ^ 2
of a wheel. when they went, they went upon  ^ 2
when they went, they went upon their four  ^ 2
went, the wheels went by  ^ 2
were lifted up over against them: for the spirit  ^ 2
over against them: for the spirit of the living creature  ^ 2
them: for the spirit of the living creature was in the wheels.  ^ 2
and the hand of the lord was there  ^ 2
of the lord was there upon  ^ 2
this is the living creature that i saw  ^ 2
of the god of israel was over them above.  ^ 2
which i saw by the river  ^ 2
of israel; and ye shall know that i  ^ 2
that i am the lord. this  ^ 2
of israel: and ye shall know that i  ^ 2
and said, ah lord god!  ^ 2
ah lord god! wilt thou  ^ 2
therefore say, thus saith  ^ 2
say, thus saith the lord  ^ 2
my people, and i will be their god.  ^ 2
that i am the lord. moreover the word  ^ 2
i am the lord. moreover the word of the lord  ^ 2
am the lord. moreover the word of the lord came  ^ 2
came to me, saying, son  ^ 2
to me, saying, son of man,  ^ 2
that i am the lord. and the word  ^ 2
i am the lord. and the word of the lord  ^ 2
am the lord. and the word of the lord came  ^ 2
me, saying, son of man, what  ^ 2
me, saying, son of man, behold,  ^ 2
the word of the lord unto me, saying,  ^ 2
of the lord unto me, saying, son  ^ 2
saith the lord god. and the word  ^ 2
man and beast from though these  ^ 2
and beast from though these three  ^ 2
saith the lord god, they  ^ 2
the lord god, they shall deliver  ^ 2
god, they shall deliver neither  ^ 2
though these three men were in  ^ 2
three men were in it, as i  ^ 2
men were in it, as i live,  ^ 2
the evil that i have brought upon  ^ 2
that i have brought upon jerusalem,  ^ 2
his idols in his heart, and putteth  ^ 2
in his heart, and putteth the stumblingblock  ^ 2
his heart, and putteth the stumblingblock of his iniquity  ^ 2
and putteth the stumblingblock of his iniquity before  ^ 2
the stumblingblock of his iniquity before his face,  ^ 2
of his iniquity before his face, and cometh  ^ 2
before his face, and cometh to  ^ 2
say unto the house of israel,  ^ 2
unto the house of israel, thus  ^ 2
thou hast not remembered the days of thy youth,  ^ 2
hear the word of the lord: thus  ^ 2
the word of the lord: thus saith  ^ 2
of the lord: thus saith the lord  ^ 2
the lord. for thus saith  ^ 2
saith the lord god; as i  ^ 2
the lord god; as i live,  ^ 2
god; as i live, surely  ^ 2
i the lord have spoken thus  ^ 2
the lord have spoken thus saith  ^ 2
have spoken thus saith the lord  ^ 2
of the lord came unto me again, saying,  ^ 2
his eyes to the idols of the house  ^ 2
to the idols of the house of israel,  ^ 2
eaten upon the mountains, neither  ^ 2
upon the mountains, neither hath lifted up  ^ 2
the mountains, neither hath lifted up his eyes  ^ 2
neither hath lifted up his eyes to  ^ 2
hath lifted up his eyes to the idols  ^ 2
his bread to the hungry, and hath covered the naked  ^ 2
equal? are not your ways unequal?  ^ 2
yet ye say, the way of the lord is not equal.  ^ 2
for why will ye die, o house of israel?  ^ 2
be dismayed at their looks, though they  ^ 2
at their looks, though they be a rebellious  ^ 2
which if a man do, he shall even live  ^ 2
then i said, i would pour out my fury upon  ^ 2
but i wrought for my name's sake, that it should not be polluted  ^ 2
for my name's sake, that it should not be polluted before  ^ 2
that it should not be polluted before the heathen,  ^ 2
with milk and honey, which is the glory  ^ 2
and honey, which is the glory of all  ^ 2
my fury upon them, to accomplish my anger  ^ 2
of israel, and say unto them, thus  ^ 2
of man, speak unto the house  ^ 2
for the which i lifted up mine hand to give  ^ 2
saith the lord god; are ye  ^ 2
saith the lord god, i will not  ^ 2
with a mighty hand, and with a stretched out arm,  ^ 2
hand, and with a stretched out arm, and with fury  ^ 2
of israel, saith the lord god,  ^ 2
hear the word of the lord; thus  ^ 2
the word of the lord; thus saith  ^ 2
then said i, ah lord god!  ^ 2
whose day is come, when  ^ 2
son of man, prophesy and say,  ^ 2
of man, prophesy and say, thus  ^ 2
for i the lord have spoken  ^ 2
prophesy, and say, thus saith  ^ 2
me, saying, now, thou son of man,  ^ 2
me, saying, son of man, say  ^ 2
unto the house of israel, thus saith  ^ 2
the lord god; woe to the bloody  ^ 2
that i am the lord. the word  ^ 2
i am the lord. the word of the lord  ^ 2
am the lord. the word of the lord came  ^ 2
saith the lord god; because that  ^ 2
that i am the lord. for  ^ 2
i am the lord. for thus  ^ 2
am the lord. for thus saith  ^ 2
and it came to pass in the eleventh year, in the first  ^ 2
in the first day of the month, that the word of the lord  ^ 2
the lord god; behold, i will bring  ^ 2
of man, take up a lamentation for  ^ 2
me, saying, son of man, take up  ^ 2
and prophesy against and say, thus  ^ 2
against and say, thus saith  ^ 2
them; and they shall know that i am the lord  ^ 2
and i will scatter the egyptians among the nations, and will disperse  ^ 2
the egyptians among the nations, and will disperse them through the countries.  ^ 2
in the midst of the countries that are desolate, and her cities  ^ 2
wicked man shall die in his iniquity; but his blood  ^ 2
man shall die in his iniquity; but his blood will i require  ^ 2
in his iniquity; but his blood will i require at thine hand.  ^ 2
he shall die in his iniquity; but thou  ^ 2
shall die in his iniquity; but thou hast delivered  ^ 2
in his iniquity; but thou hast delivered thy soul.  ^ 2
and thou shalt say unto them, thus saith  ^ 2
of a strange speech and of a hard language,  ^ 2
i am the lord. and it came to pass in the eleventh  ^ 2
am the lord. and it came to pass in the eleventh year,  ^ 2
and all his multitude, saith the lord  ^ 2
his multitude, saith the lord god.  ^ 2
all of them slain, fallen by the sword,  ^ 2
of them slain, fallen by the sword, which  ^ 2
yet have they borne their shame with them that go down  ^ 2
their shame with them that go down to the pit.  ^ 2
her graves are round about him: all of them uncircumcised,  ^ 2
are round about him: all of them uncircumcised, slain  ^ 2
her multitude: her graves are round about him: all  ^ 2
therefore, as i live, saith  ^ 2
and say, ye mountains of israel, hear  ^ 2
any more, saith the lord god.  ^ 2
my people, and i will be your god.  ^ 2
and ye shall be my people, and i will be  ^ 2
saith the lord god to the mountains,  ^ 2
the lord god to the mountains, and to the hills,  ^ 2
god to the mountains, and to the hills, to the rivers,  ^ 2
of israel, hear the word of the lord  ^ 2
the hand of the lord was upon  ^ 2
the lord god; behold, i  ^ 2
god; behold, i will take  ^ 2
their god, and they shall be my people.  ^ 2
and the heathen shall know that i  ^ 2
hear the word of the lord. thus  ^ 2
the word of the lord. thus saith  ^ 2
creeping things that creep upon the earth,  ^ 2
i am against thee, o gog, the chief prince  ^ 2
thee, o gog, the chief prince of meshech  ^ 2
the chief prince of meshech and tubal:  ^ 2
god; behold, i am against thee, o gog,  ^ 2
behold, i am against thee, o gog, the chief  ^ 2
prince of meshech and tubal: and i will turn thee back,  ^ 2
son of man, thus saith  ^ 2
and he measured from gate to gate  ^ 2
was fifty cubits, and the breadth five  ^ 2
the length was fifty cubits, and the breadth  ^ 2
thereof round about: it was fifty cubits long,  ^ 2
it was fifty cubits long, and five  ^ 2
cubits long, and five and twenty  ^ 2
long, and five and twenty cubits  ^ 2
and five and twenty cubits broad.  ^ 2
and twenty cubits broad. and the porches  ^ 2
and he brought me into the inner court  ^ 2
thereof, on this side, and on that side: and the going up to it had eight  ^ 2
and on that side: and the going up to it had eight steps.  ^ 2
and palm trees were upon the posts thereof, on this side,  ^ 2
were upon the posts thereof, on this side, and on that side:  ^ 2
the posts thereof, on this side, and on that side: and the going up  ^ 2
said unto me, son of man,  ^ 2
then he brought me forth into the utter court,  ^ 2
hundred reeds, with the measuring reed  ^ 2
reeds, with the measuring reed round about.  ^ 2
with the measuring reed round about. he measured  ^ 2
side, five hundred reeds,  ^ 2
and, behold, the glory of the god of israel  ^ 2
and, behold, the glory of the lord filled  ^ 2
the house of israel. thus saith  ^ 2
over against the five and twenty thousand  ^ 2
from the east side even unto the west  ^ 2
side even unto the west side,  ^ 2
even unto the west side, a  ^ 2
four thousand and five hundred  ^ 2
and under every green tree,  ^ 2
all thine abominations. and mine eye shall not  ^ 2
shall not spare, neither will i have pity:  ^ 2
mine eye shall not spare, neither  ^ 2
the man clothed with linen, which  ^ 2
seven hundred and threescore. the children  ^ 2
six hundred forty and two.  ^ 2
the children of bebai, six hundred  ^ 2
of bebai, six hundred twenty  ^ 2
hundred twenty and three. the children  ^ 2
twenty and two. the children of adonikam,  ^ 2
and two. the children of adonikam, six  ^ 2
the children of adonikam, six hundred  ^ 2
the children of ater of hezekiah, ninety  ^ 2
of ater of hezekiah, ninety and eight.  ^ 2
of hezekiah, ninety and eight. the children  ^ 2
and eight. the children of bezai, three  ^ 2
the children of bezai, three hundred  ^ 2
of bezai, three hundred twenty  ^ 2
two hundred twenty and three. the children  ^ 2
a hundred twenty and three. the men  ^ 2
the men of anathoth, a hundred twenty  ^ 2
of anathoth, a hundred twenty and eight.  ^ 2
a hundred twenty and eight. the children  ^ 2
chephirah, and beeroth, seven hundred  ^ 2
six hundred twenty and one.  ^ 2
hundred twenty and one. the men  ^ 2
twenty and one. the men of michmas,  ^ 2
and one. the men of michmas, a hundred  ^ 2
and two. the men of bethel and ai,  ^ 2
the children of parosh, two thousand a hundred  ^ 2
of parosh, two thousand a hundred seventy  ^ 2
two thousand a hundred seventy and two.  ^ 2
the children of the other elam, a thousand  ^ 2
of the other elam, a thousand two hundred  ^ 2
elam, a thousand two hundred fifty  ^ 2
fifty and four. the children of harim,  ^ 2
and four. the children of harim, three  ^ 2
the children of harim, three hundred  ^ 2
of harim, three hundred and twenty.  ^ 2
three hundred and twenty. the children  ^ 2
the children of lod, hadid, and ono,  ^ 2
